[USER DATA]
John
AGE=43
WEIGHT=166.0 pounds
LOWER HR=0
UPPER HR=200
drag factor=100
[END USER DATA]

[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = NONE
[END COURSE HEADER]

[COURSE DATA]
      0.07       -2.00        0.00
      0.25        1.70        0.00
      0.83        0.30        0.00
      1.11       -1.00        0.00
      1.41        0.30        0.00
      1.60       -2.00        0.00
      1.78        1.60        0.00
      2.09        2.70        0.00
      2.30       -1.20        0.00
      2.42        0.00        0.00
      2.72       -1.90        0.00
      2.86        1.10        0.00
      2.98        3.00        0.00
      3.23       -3.00        0.00
      3.39        0.90        0.00
      3.53       -1.10        0.00
      3.69       -2.40        0.00
      3.81       -0.40        0.00
      4.21        0.80        0.00
      4.40        1.80        0.00
      4.70       -2.50        0.00
      4.91       -0.20        0.00
      5.23        1.30        0.00
      5.43        2.10        0.00
      5.84       -0.40        0.00
      5.91       -0.70        0.00
      5.97        1.00        0.00
      6.20        3.00        0.00
[END COURSE DATA]

number of records = 16460

ms speed watts rpm hr ss miles 

"480428","20.82","356","86","153","70","2.9761"
"482288","20.60","364","84","155","70","2.9868"
"484149","20.26","329","94","155","72","2.9971"
"486008","20.08","362","93","155","73","3.0075"
"487869","19.92","315","92","155","74","3.0179"
"489728","19.90","317","92","156","74","3.0281"
"491589","19.82","299","92","157","74","3.0384"
"493448","19.90","287","92","157","73","3.0487"
"495310","19.84","293","93","160","72","3.0591"
"497169","20.60","293","89","161","74","3.0695"
"499029","20.82","271","89","161","74","3.0802"
"500888","21.20","284","85","163","73","3.0909"
"502749","21.26","266","85","163","69","3.1018"
"504607","21.82","267","86","163","68","3.1128"
"506468","22.44","297","90","163","68","3.1243"
"508328","23.06","285","92","163","67","3.1360"
"510189","23.42","279","89","163","67","3.1480"
"512048","24.14","293","91","163","68","3.1603"
"513909","24.86","270","92","163","69","3.1730"
"515769","25.54","273","84","163","69","3.1860"
"517629","26.44","327","85","163","70","3.1994"
"519490","27.60","333","88","165","70","3.2134"
"521348","28.56","343","91","165","70","3.2278"
"523209","29.26","345","94","166","70","3.2428"
"525068","29.62","314","95","166","69","3.2581"
"526929","29.94","334","96","166","68","3.2735"
"528789","29.66","343","96","166","68","3.2889"
"530648","29.20","302","95","166","67","3.3042"
"532508","29.18","339","94","168","67","3.3192"
"534368","28.72","358","93","168","68","3.3341"
"536228","27.78","329","91","169","70","3.3488"
"538088","27.02","293","103","170","72","3.3629"
"539949","26.44","323","100","170","70","3.3767"
"541809","25.74","324","98","170","69","3.3902"
"543669","24.86","317","95","170","69","3.4033"
"545529","24.64","336","94","170","69","3.4162"
"547389","24.36","303","92","170","68","3.4288"
"549248","24.42","346","94","170","67","3.4414"
"551109","24.54","331","93","170","69","3.4540"
"552969","24.58","319","93","173","69","3.4667"
"554830","24.68","316","93","173","70","3.4795"
"556689","25.00","322","94","173","69","3.4923"
"558548","25.02","291","94","173","69","3.5052"
"560409","25.30","319","89","173","69","3.5182"
"562269","25.42","296","89","173","70","3.5314"
"564129","25.36","266","89","173","70","3.5445"
"565989","26.24","319","85","173","70","3.5579"
"567849","26.74","345","86","173","71","3.5716"
"569708","27.02","330","87","173","72","3.5855"
"571569","27.36","311","88","173","72","3.5996"
"573428","27.68","325","89","173","71","3.6139"
"575289","27.76","294","89","173","69","3.6283"
"577149","28.08","275","90","173","68","3.6427"
"579009","28.26","290","90","173","67","3.6572"
"580869","28.66","328","92","173","67","3.6719"
"582728","28.66","280","92","173","67","3.6867"
"584589","28.78","246","92","174","67","3.7015"
"586449","28.90","307","93","174","68","3.7164"
"588309","28.98","327","94","174","70","3.7314"
"590169","28.82","283","92","174","71","3.7463"
"592028","28.22","274","91","174","70","3.7610"
"593887","26.88","138","86","174","70","3.7752"
"595748","26.48","139","99","174","71","3.7891"
"597607","25.70","200","97","174","70","3.8026"
"599468","25.04","201","94","174","67","3.8157"
"601328","24.70","218","91","174","67","3.8284"
"603188","24.52","286","79","174","66","3.8411"
"605050","24.40","268","78","174","63","3.8538"
"606910","23.66","189","91","174","66","3.8662"
"608768","23.30","229","94","174","68","3.8783"
"610629","23.40","245","94","174","66","3.8904"
